#RUN,Or,target,time(s),charge ACCT11 (ÂµC)
23,N,CH2,9420,42000
24,N,CH2,1260,4873
25,N,CH2,5820,14023
26,N,CH2,12000,108564
27,N,CH2,13020,176894
28,N,CH2,42780,580759
29,N,Fe-thick (#2),2940,35100
30,N,Fe-thick (#2),420,5718
31,N,Fe-thick (#2),5460,70927
32,N,Fe-thick (#2),4260,12450
33,N,Fe-thick (#2),1500,6057
34,N,Fe-thick (#2),60480,299305
35,N,C(#25),11880,60385
36,N,C(#25),6480,65184
37,N,C(#25),8940,88614
38,N,C(#25),6720,68910
39,N,C(#25),43500,196352
40,N,Fe-thick (#13),30660,232269
41,N,Fe-thick (#13),56340,364818
42,N,Fe-thick (#13),15900,124221
43,N,Fe-thick (#13),81780,602729
44,N,Fe-thick (#13),18840,145447
47,N,Fe-thick (#13),29520,239478
48,N,Fe-thick (#13),180,162
49,N,Fe-thick (#13),2160,17339
50,N,Fe-thick (#13),2220,18083
51,N,Fe-thick (#13),7500,61047
52,N,Alpha source,3660,21
53,N,Alpha source,360,2
54,N,Alpha source,62580,161
55,N,Alpha source,80100,3021
56,N,CH2,1980,1412
57,N,CH2,19740,44779
58,N,CH2,38220,174198
59,N,CH2,3300,26497
60,N,CH2,12360,105910
61,N,CH2,13920,119410
62,N,CH2,54060,412301
63,N,dummy,1320,1519
300,N,Cr-thick-fw,8880,2662
301,N,Cr-thick-fw,7620,44238
302,N,Cr-thick-fw,2940,68746
303,N,Cr-thick-fw,15840,467529
304,N,Cr-thick-fw,14040,420749
305,N,Cr-thick-fw,12300,345120
306,N,Cr-thick-fw,5100,138583
307,N,Cr-thick-fw,1800,27340
308,N,Cr-thick-fw,22140,703890
309,N,background,2100,71668
310,N,background -  donot use,14880,467042
311,N,Cr-thick-fw,18300,515961
312,N,Polyester,31200,936753
313,N,Polyester,8640,263754
314,N,Polyester,17760,529704
315,N,Polyester,9660,291545
316,N,Polyester,6480,154220
317,N,Cr-thin-bw,300,8186
318,N,Cr-thin-bw,0,8185.5
319,N,Cr-thin-bw,1920,154.7
320,N,Cr-thin-bw,8160,2589
321,N,Cr-thin-bw,540,14517
322,N,Cr-thin-bw,14580,409217
323,N,Cr-thin-bw,9720,262333
324,N,Cr-thin-bw,9000,239721
325,N,Cr-thin-bw,10740,283830
326,N,Cr-thin-bw,21960,522454
327,N,Cr-thin-bw,3300,101104
328,N,Cr-thin-bw,540,16844
333,R,Cr-thick-fw,14820,475409
334,R,Cr-thick-fw,19260,606179
335,R,Cr-thick-fw,12180,411118
336,R,Cr-thick-fw,9420,316777
337,R,Cr-thick-fw,10680,315373
338,R,Cr-thin-bw,3360,74900
339,R,Cr-thin-bw,12240,364215
340,R,Cr-thin-bw,14640,487600
341,R,Cr-thin-bw,14280,475238
342,R,Polyester,8340,208948
343,R,Polyester,15900,515688
344,R,Polyester,9120,290340
345,R,Polyester,420,13719
346,R,dummy,1320,39100
347,R,Polyester,2220,69377
348,R,Polyester,14700,400820
349,R,Polyester,5520,150443
350,R,Cr-thick-bw,15180,478092
351,R,Cr-thick-bw,5340,168187
352,R,Cr-thick-bw,10740,338539
353,R,Cr-thick-bw,10740,335876
354,R,Cr-thick-bw,10920,322352
355,R,Cr-thin-fw,5460,134381
356,R,Cr-thin-fw,4860,146715
357,R,Cr-thin-fw,16080,488948
358,R,Cr-thin-fw,13860,436130
359,N,Cr-thin-fw,840,27558
360,N,Cr-thin-fw,660,3293
361,N,Cr-thin-fw,9960,299595
362,N,Cr-thin-fw,10620,327891
363,N,Cr-thin-fw,12660,381653
364,N,Cr-thin-fw,1260,6704
365,N,Cr-thin-fw,360,3216
366,N,Cr-thin-fw,60,1665
367,N,Cr-thin-fw,10920,258240
368,N,Cr-thick-bw,3180,91491
369,N,background,19800,104
370,N,CH2,9060,222542
371,N,Cr-thick-bw,1140,34576
372,N,Cr-thick-bw,1260,41593
373,N,Cr-thick-bw,5040,164896
374,N,Cr-thick-bw,9900,324304
375,N,Cr-thick-bw,10740,357639
376,N,Cr-thick-bw,11280,371059
377,N,Cr-thick-bw,5340,177876
378,N,wire cross,900,27795
379,N,wire cross,5760,183999
380,R,wire cross,3960,123412
381,R,dummy,60,1897
382,R,wire cross,3960,108364
383,R,Fe-thick,14400,462570
384,R,Fe-thick,14520,479783
385,R,Fe-thin,7740,221636
386,R,Fe-thin,10740,364245
387,R,Fe-thin,11280,350900
388,N,C,7740,292294
389,N,Fe-thin,15600,603136
390,N,Fe-thin,12900,438141
391,N,Fe-thin,10800,364772
392,N,Fe-thin,10800,369851
393,N,Fe-thin,10980,365282
394,N,Fe-thin,10620,359509
395,N,Fe-thin,120,4257
396,N,Fe-thick,900,31419
397,N,Fe-thick,6960,226026
398,N,Fe-thick,11940,366797
399,N,Fe-thick,5280,175144
400,N,Fe-thick,11400,382035
401,N,Fe-thick,10440,346814
402,N,Fe-thick,10500,350300
403,N,Fe-thick,10560,354273
404,N,Fe-thick,11340,363833
405,N,Fe-thick,3120,88191
406,N,C,7440,244616
407,N,CH2,12660,424650
408,R,Fe-thin,13380,409130
409,R,Fe-thin,4560,134307
410,R,Fe-thick,10260,374557
411,R,Fe-thick,10620,321611
412,R,Fe-thick,10560,385346
413,R,Fe-thick,11487,403000
414,R,Fe-thin,15497,510062
415,R,Fe-thin,361,12388
416,R,Fe-thin,12701,6268
417,R,Fe-thin,12701,415099
